BI,BI log,BV,AI,AV,VDEVICE,RESISTANCE,,AV,BIAbs
-2.17E-08,-7.66E+00,-1.58E-05,2.16E-08,3.50E-01,3.50E-01,1.61E+07,,2.079999924,0.037273522
-1.90E-08,-7.72E+00,-1.53E-05,1.89E-08,3.40E-01,3.40E-01,1.79E+07,,2.075000048,0.037132882
-1.67E-08,-7.78E+00,-1.52E-05,1.66E-08,3.30E-01,3.30E-01,1.98E+07,,2.069999933,0.036989834
-1.48E-08,-7.83E+00,-1.52E-05,1.47E-08,3.20E-01,3.20E-01,2.16E+07,,2.065000057,0.036847211
-1.32E-08,-7.88E+00,-1.56E-05,1.31E-08,3.10E-01,3.10E-01,2.34E+07,,2.059999943,0.036702022
-1.19E-08,-7.92E+00,-1.40E-05,1.18E-08,3.00E-01,3.00E-01,2.52E+07,,2.055000067,0.036556404
-1.07E-08,-7.97E+00,-1.42E-05,1.06E-08,2.90E-01,2.90E-01,2.70E+07,,2.049999952,0.036408942
-9.74E-09,-8.01E+00,-1.38E-05,9.64E-09,2.80E-01,2.80E-01,2.87E+07,,2.045000076,0.036261182
-8.86E-09,-8.05E+00,-1.40E-05,8.76E-09,2.70E-01,2.70E-01,3.05E+07,,2.039999962,0.036111761
-8.08E-09,-8.09E+00,-1.27E-05,7.97E-09,2.60E-01,2.60E-01,3.22E+07,,2.035000086,0.035962272
-7.36E-09,-8.13E+00,-1.36E-05,7.26E-09,2.50E-01,2.50E-01,3.40E+07,,2.029999971,0.03581062
-6.71E-09,-8.17E+00,-1.32E-05,6.61E-09,2.40E-01,2.40E-01,3.58E+07,,2.025000095,0.03565906
-6.10E-09,-8.21E+00,-1.30E-05,6.00E-09,2.30E-01,2.30E-01,3.77E+07,,2.019999981,0.035506137
-5.53E-09,-8.26E+00,-1.22E-05,5.43E-09,2.20E-01,2.20E-01,3.98E+07,,2.015000105,0.035351261
-5.00E-09,-8.30E+00,-1.30E-05,4.89E-09,2.10E-01,2.10E-01,4.20E+07,,2.00999999,0.035196457
